Product Number,Product Name,Physical Units
TUL1,Adesso Webcam Cybertrack H5,3.00
TUL2,Anker Wireless Phone Charger,1.00
TUL3,Backpack SwissGear,2.00
TUL4,Barcode Scanner USB,13.00
TUL5,Barcode Scanner Wireless 3820,3.00
TUL6,C2G docking station,6.00
TUL7,Computer Webcam,0.00
TUL9,Crucial 8GB DDR4 SODIMM Memory,3.00
TUL10,Dell 24 USB-C Monitor,2.00
TUL11,Dual Monitor Stand,9.00
TUL12,Flash Drive 16GB,7.00
TUL13,Flash Drive 64GB,2.00
TUL14,Flash Drive USB 32 GB,2.00
TUL15,Headset Logitech H390 USB,4.00
TUL16,Headset Logitech H800 Bluetooth Wireless,0.00
TUL17,Headset Yamay Bluetooth Wireless,0.00
TUL18,"HP 600 G5 ""Mini""",5.00
TUL19,HP Dock Laptop USB-C,0.00
TUL20,"HP E344c Elite Display - 34"" Curved Monitor",1.00
TUL21,HP Elitebook 830 G6 x360,0.00
TUL22,HP EliteBook 840 G5,0.00
TUL23,HP Elitebook x360 830 G7,0.00
TUL24,HP Elitebook x360 830 G8,2.00
TUL25,HP T430 Thin Client,5.00
TUL26,HP Thunderbolt Dock,0.00
TUL27,HP Z2 Workstation,1.00
TUL28,HP zBook17 CAD Laptop,0.00
TUL29,Keyboard Wired HP (OEM),7.00
TUL30,Keyboard Wireless Logitech,1.00
TUL31,Keyboard/Mouse Combo Logitech MK545,3.00
TUL32,"Laptop Dock, Anker (USBC Universal)",4.00
TUL33,Logitech R800 Presenter,2.00
TUL34,"Monitor 19"" HP Prodisplay",0.00
TUL35,"Monitor 19"" Touchscreen Planar",0.00
TUL36,"Monitor 24"" P244 LED",0.00
TUL37,"Monitor Acer 24""",12.00
TUL38,"Monitor Dell 24"" S2421",3.00
TUL39,Mouse Wired HP (OEM),5.00
TUL40,Mouse Wireless Logitech M510,2.00
TUL41,Mouse Wireless Logitech MX Master,1.00
TUL42,Plantronics Calisto Conference Speaker,2.00
TUL43,Plantronics Voyager 5200 UC,0.00
TUL44,Poly CCX500 Business Media Phone,3.00
TUL45,Polycom VVX201,14.00
TUL46,Polycom VVX411,1.00
TUL47,Printer SATO,0.00
TUL48,Samsung 870 EVO 500GB,0.00
TUL49,SDCard 64GB,2.00
TUL49-2,SDCard 64GB,0.00
TUL50,Targus USBC docking station,0.00
TUL51,USB 3.0 HUB - 4 Port,2.00
